trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-89.05572232382983,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-115.21696186819158,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",30,0,-174.9621422516145,"{0: 16, 1: 1, 2: 11, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,3,-188.3397277218991,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 3}",1
5,False,"{'a': 0.01, 'e': 0.951229424500714}",25,0,-149.32918491856398,"{0: 12, 1: 8, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-6.337988390530298,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",30,0,-133.43034630758493,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",30,0,-163.86793851657904,"{0: 16, 1: 2, 2: 9, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",35,0,-217.0564487388461,"{0: 20, 1: 3, 2: 8, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-93.23449927178753,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,0,-100.11554951325671,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",35,7,-83.31102617957677,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 1}",1
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",20,0,-149.5850527489221,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,0,-136.82435000447975,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-132.8599327260001,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.8521437889662113}",25,17,8.31728623672763,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.8436648165963837}",25,0,-137.03295424532539,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-184.189187957091,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.01, 'e': 0.8269591339433623}",30,9,-37.29107483232039,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
20,False,"{'a': 0.01, 'e': 0.8187307530779818}",25,0,-48.741329178087,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.8105842459701871}",20,0,0.8466837918346155,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.8025187979624785}",35,0,-184.25032817839622,"{0: 26, 1: 1, 2: 3, 3: 1, 4: 4}",0
23,False,"{'a': 0.01, 'e': 0.794533602503334}",20,0,-77.89697441600849,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.7866278610665535}",20,10,-21.111223661548557,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.7788007830714049}",25,0,-28.226487910158387,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.7710515858035663}",20,0,-7.357429072715627,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
